incident_id,district,category,severity,status,incident_date,location,description,officer,latitude,longitude
INC-001,Tumakuru,Fraud,Medium,Open,2025-01-04,B.H. Road,Investment scam promising high returns to local traders,PSI Divya Hegde,13.3552,77.1736
INC-002,Yadgir,Assault,High,Under Investigation,2025-01-07,Shahpur,Bar fight escalated into serious assault injuring two persons,ASI Meena Kumari,16.8047,77.1972
INC-003,Raichur,Domestic Violence,Medium,Under Investigation,2025-01-07,Mantralayam Road,Domestic assault during family dispute — victim hospitalized,ASI Priya Shetty,16.2011,77.4091
INC-004,Kodagu,Domestic Violence,High,Closed,2025-01-09,Virajpet Road,Domestic violence complaint filed by spouse at police station,PSI Ramesh H.R.,12.481,75.7152
INC-005,Tumakuru,Theft,Medium,Under Investigation,2025-01-10,Gubbi Cross,Two-wheeler stolen from Gubbi Cross residential parking area during night hours,ASI Sunitha M.,13.3564,77.1645
INC-006,Kolar,Robbery,Critical,Open,2025-01-12,BEML Layout,Armed robbery at jewellery store during business hours,PI Prakash Babu,13.1146,78.156
INC-007,Bengaluru Urban,Domestic Violence,High,Under Investigation,2025-01-12,Electronic City,Domestic assault during family dispute — victim hospitalized,PI Nandini Gowda,12.9578,77.6535
INC-008,Chikkamagaluru,Fraud,Medium,Closed,2025-01-17,Kaimara,Real estate fraud using forged property documents,PSI Harish B.,13.3206,75.7698
INC-009,Bengaluru Urban,Murder,Critical,Under Investigation,2025-01-18,BTM Layout,Contract killing suspected in business rivalry case,PI Ganesh Murthy,12.9479,77.5547
INC-010,Dakshina Kannada,Theft,Medium,Under Investigation,2025-01-18,Port Area,Gold chain snatching near Port Area market during peak shopping hours,PI Mohan Gowda,12.8783,74.8833
INC-011,Bengaluru Urban,Assault,High,Closed,2025-01-20,Hebbal,Physical assault following road rage incident at traffic junction,PSI Harish B.,13.0168,77.5607
INC-012,Chikkaballapur,Theft,Low,Closed,2025-01-22,Chikkaballapur Town,Agricultural pump motor theft from farm shed overnight,PSI Harish B.,13.396,77.6798
INC-013,Mysuru,Assault,High,Open,2025-01-23,Vijayanagar,Assault on auto driver over fare disagreement,PSI Anitha Reddy,12.2858,76.6318
INC-014,Bengaluru Urban,Theft,Medium,Under Investigation,2025-01-24,Yelahanka,Laptop theft from unattended vehicle at parking lot,PSI Vijay Patil,12.9651,77.6502
INC-015,Haveri,Assault,Medium,Open,2025-01-25,Ranebennur Cross,Bar fight escalated into serious assault injuring two persons,ASI Meena Kumari,14.7575,75.4096
